Country;Region;v2x_polyarchy;v2x_regime;"""Freedom on the Net 2019"" Status";"""Freedom on the Net 2019"" Total Score";Military Expenditures (USD) 2018;Military Expenditures Ranking (2018); BRI Member?;China ODI Rank (EIU);Safe City System;Facial Recognition System;Smart Policing;Social Media Surveillance;China Tech?;US Tech?;Other Countries;Company 1;Company 2;Company 3;Company 4;Company 5;;;;;;;;;;;;;;;;
Egypt;MENA;0,211;EA;NOT FREE;26;3110,0;51;1;49;;x;x;x;1;1;;Honeywell;Huawei;;;;;;;;;;;;;;;;;;;
France;EUR;0,85;LD;FREE;76;63799,7;5;;27;x;x;x;x;1;1;France, Finland, Japan;Huawei;ZTE;Thales;Teleste;Palantir;;;;;;;;;;;;;;;;
Georgia;EUR;0,676;ED;FREE;75;316,5;100;1;;x;x;x;;;;Japan;NEC;;;;;;;;;;;;;;;;;;;;
Germany;EUR;0,838;LD;FREE;80;49470,6;8;;20;x;x;x;x;1;1;Germany;Huawei;Palantir;IfmPt;Secunet;;;;;;;;;;;;;;;;;
Ghana;AF;0,648;LD;;;218,4;110;1;;x;;x;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Hong Kong;EAP;0,338;CA;;;;;1;3;;x;x;x;1;;Australia;iOmnicient;Huawei;;;;;;;;;;;;;;;;;;;
Hungary;EUR;0,536;ED;FREE;72;1642,3;63;1;23;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;
India;SCA;0,557;ED;PARTLY FREE;55;66510,3;4;;36;x;x;x;x;1;1;India, Japan;NEC;ADRIN;Infinova;Hikvision;Microsoft;Qognify;;;;;;;;;;;;;;;
Indonesia;EAP;0,6;ED;PARTLY FREE;51;7437,2;26;1;26;x;x;x;x;1;1;Indonesia, Japan;NEC;PT Industri Telekomunikasi Indonesia;Huawei;;;;;;;;;;;;;;;;;;
Iran;MENA;0,205;EA;NOT FREE;15;13194,2;18;1;19;x;x;x;x;1;;;ZTE;CETC;;;;;;;;;;;;;;;;;;;
Iraq;MENA;0,422;EA;;;6318,0;32;1;;x;x;;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Israel;MENA;0,698;LD;;;15946,8;17;1;11;x;x;x;x;;1;Israel;Verint;NICE;AnyVision;Elbit;BriefCam;Microsoft;ZenCity;;;;;;;;;;;;;;
Italy;EUR;0,873;LD;FREE;75;27807,5;11;1;50;x;x;x;x;1;;Italy, Russia, South Korea;Huawei;Parsec;Axxonsoft;Hanwha Techwin;;;;;;;;;;;;;;;;;
Ivory Coast;AF;0,65;ED;;;607,8;82;1;;x;;;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Jamaica;WHA;0,807;ED;;;207,8;112;1;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;
Japan;EAP;0,808;LD;FREE;73;46618,0;9;;14;;x;x;;;;Japan;NEC;;;;;;;;;;;;;;;;;;;;
Kazakhstan;SCA;0,239;EA;NOT FREE;32;1613,6;64;1;12;x;x;x;x;1;;Russia;Speech Technology Center;Analytical Business Solutions;Huawei;;;;;;;;;;;;;;;;;;
Kenya;AF;0,447;EA;PARTLY FREE;68;1097,5;69;1;;x;x;x;x;1;;Kenya, Israel, Japan;Huawei;Safaricom;NEC;Webintpro;;;;;;;;;;;;;;;;;
Kyrgyzstan;SCA;0,511;ED;PARTLY FREE;61;121,2;118;1;;x;x;x;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Laos;EAP;0,12;CA;;;;;1;;x;;x;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Lebanon;MENA;0,482;EA;PARTLY FREE;52;2775,6;52;1;;x;;x;;;1;Lebanon;Guardia;Crestron;;;;;;;;;;;;;;;;;;;
Malaysia;EAP;0,372;EA;PARTLY FREE;57;3469,8;49;1;4;x;x;x;x;1;;Malaysia, Israel, Japan;Huawei;Yitu;NEC;IBM;;;;;;;;;;;;;;;;;
Malta;EUR;0,743;ED;;;69,3;128;1;;x;x;x;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Mauritius;AF;0,825;LD;;;23,2;141;1;;x;;x;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Mexico;WHA;0,719;ED;PARTLY FREE;60;6567,5;31;;44;x;x;x;;1;1;France, Mexico, Russia;Dahua;InfiNet;Telmex;Thales;Axxonsoft;;;;;;;;;;;;;;;;
Mongolia;EAP;0,624;ED;;;96,1;122;1;;;x;x;;1;;;Dahua;;;;;;;;;;;;;;;;;;;;
Morocco;MENA;0,299;CA;PARTLY FREE;54;3696,9;47;1;;x;x;x;x;1;;UK;BAE;Huawei;;;;;;;;;;;;;;;;;;;
Namibia;AF;0,688;ED;;;451,5;89;1;;;x;x;;;;Namibia;Otesa;;;;;;;;;;;;;;;;;;;;
Netherlands;EUR;0,861;LD;;;11242,8;21;;31;x;x;x;;1;;France;IDEMIA;Huawei;Hikvision;;;;;;;;;;;;;;;;;;
New Zealand;EAP;0,873;LD;;;2262,9;56;1;35;;x;x;;1;1;New Zealand;Palantir;Hikvision;;;;;;;;;;;;;;;;;;;
Pakistan;SCA;0,415;EA;NOT FREE;26;11375,5;20;1;41;x;x;x;x;1;;Canada;Huawei;Sandvine;;;;;;;;;;;;;;;;;;;
Panama;WHA;0,788;ED;;;0,0;;1;;x;x;x;;1;1;;Huawei;FaceFirst;;;;;;;;;;;;;;;;;;;
Paraguay;WHA;0,617;ED;;;386,6;45;;96;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
Peru;WHA;0,753;ED;;;2708,9;54;1;38;;x;x;;1;;Peru;Desarrollos Terrestres Perú;;;;;;;;;;;;;;;;;;;;
Philippines;EAP;0,525;ED;PARTLY FREE;66;3769,7;46;1;28;x;x;x;x;1;1;Israel, Philippines;Huawei;CITCC;IBM;Boeing;Verint;Integrated Computer Systems;;;;;;;;;;;;;;;
Qatar;MENA;0,094;CA;;;;;1;;x;x;x;;;;France, UK, Russia;Orange;BAE;Axxonsoft;;;;;;;;;;;;;;;;;;
Romania;EUR;0,628;ED;;;4608,7;40;1;34;;x;x;;;;Japan;NEC;;;;;;;;;;;;;;;;;;;;
Russia;EUR;0,285;EA;NOT FREE;31;61387,5;6;1;10;x;x;x;x;1;1;Russia;Mult;NTechLab;Ladakom-Service;Speech Technology Center;Analytical Business Solutions;Cisco;Axxonsoft;Huawei;;;;;;;;;;;;;
Saudi Arabia;MENA;0,028;CA;NOT FREE;25;67554,7;3;1;24;x;x;x;x;1;1;Israel, HK, UK, Japan;Mult;NEC;Hikvision;BriefCam;Hugslock;Gatekeeper;BAE;Huawei;;;;;;;;;;;;;
Serbia;EUR;0,394;EA;;;904,3;73;1;;x;x;x;;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Singapore;EAP;0,397;EA;PARTLY FREE;56;10841,0;22;1;1;x;x;x;;1;1;France, Japan;Huawei;Yitu;Tascent;Dassault;Accenture;Airbus;AGT;NEC;;;;;;;;;;;;;
South Africa;AF;0,717;ED;FREE;72;3639,9;48;1;43;x;x;x;x;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
South Korea;EAP;0,867;ED;PARTLY FREE;64;43070,0;10;1;7;x;x;x;x;;1;South Korea, Sweden, Russia;;Korea Telecom;SK Telecom;LG Uplus;Axxonsoft;Hanwha Techwin;;;;;;;;;;;;;;;
Spain;EUR;0,819;LD;;;18248,3;16;;42;x;x;x;;1;1;Spain;Huawei;IBM;SICE;Herta;;;;;;;;;;;;;;;;;
Switzerland;EUR;0,881;LD;;;4795,8;38;;6;x;x;;;;;Turkey;Ekin;;;;;;;;;;;;;;;;;;;;
Taiwan;EAP;0,801;LD;;;10713,7;23;;13;;x;;;;;Taiwan, Japan;Lilin;Gorilla;NEC;;;;;;;;;;;;;;;;;;
Tajikistan;SCA;0,174;EA;;;;;1;;x;x;;x;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Thailand;EAP;0,16;CA;NOT FREE;35;6829,2;29;1;18;x;x;;x;1;;Japan;Huawei;ZTE;Megvii;Panasonic;;;;;;;;;;;;;;;;;
Turkey;EUR;0,349;EA;NOT FREE;37;18967,1;15;1;46;x;x;x;x;1;;Turkey, South Korea;HAVESLAN;Dahua;Hanwha Techwin;;;;;;;;;;;;;;;;;;
Uganda;AF;0,375;EA;PARTLY FREE;56;408,4;94;1;;x;x;;x;1;;;Huawei;;;;;;;;;;;;;;;;;;;;
Ukraine;EUR;0,408;EA;PARTLY FREE;56;4750,2;39;1;47;x;x;;;1;1;;Huawei;Hikvision;Microsoft;;;;;;;;;;;;;;;;;;
United Arab Emirates;MENA;0,115;CA;NOT FREE;28;;;1;;x;x;x;x;1;1;Israel, UK, Japan;Huawei;Hikvsion;Circinus;NEC;BriefCam;GateKeeper;BAE;AGT;;;;;;;;;;;;;
United Kingdom;EUR;0,875;LD;FREE;77;49997,2;7;;40;x;x;x;x;1;1;Japan;Hikvision;NEC;Palantir;;;;;;;;;;;;;;;;;;
United States of America;WHA;0,834;LD;FREE;77;648798,3;1;;2;x;x;x;x;;1;Israel, Japan;Mult;Cognitec;Palantir;PredPol;Amazon;Infinova;Avigilon;Honeywell;Anduril;Elbit;NEC;Panasonic;Genetec;Qognify;;;;;;;
Uruguay;WHA;0,884;LD;;;1168,1;68;1;;x;x;x;;1;1;Spain;ZTE;Palantir;Herta;;;;;;;;;;;;;;;;;;
Uzbekistan;SCA;0,204;CA;NOT FREE;26;;;1;;x;x;;;1;;Russia;Huawei;Speech Technology Center;Infinova;;;;;;;;;;;;;;;;;;
Venezuela;WHA;0,241;EA;NOT FREE;30;;;1;59;;x;;;1;;;Huawei;ZTE;CEIEC;;;;;;;;;;;;;;;;;;
Vietnam;EAP;0,224;CA;NOT FREE;24;5500;30;1;35;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
Zambia;AF;0,348;EA;PARTLY FREE;58;378,0;98;1;;x;x;;;1;;;Huawei;ZTE;Hikvision;;;;;;;;;;;;;;;;;;
Zimbabwe;AF;0,33;EA;PARTLY FREE;42;420,4;91;1;;;x;x;;1;;;Huawei;Hikvision;CloudWalk;;;;;;;;;;;;;;;;;;
